Model,Display name,eci,eci_ci_low,eci_ci_high,date,Organization,Country (of organization),Model accessibility,Accessibility group,model_versions
GPT-3.5 Turbo (Jan 2024),GPT-3.5 Turbo (Jan 2024),115.61,109.31,119.09,2024-01-25,OpenAI,United States of America,API access,Closed weights,
PaLM 2-L,PaLM 2-L,114.88,107.94,128.04,2023-05-17,,,Unknown,Other,
Llama 2-70B,Llama 2-70B,113.63,107.1,117.47,2023-07-18,Meta AI,United States of America,Open weights (restricted use),Open weights,
GPT-3.5 Turbo (Jun 2023),GPT-3.5 Turbo (Jun 2023),113.19,105.86,118.59,2023-06-13,OpenAI,United States of America,API access,Closed weights,
Qwen2.5-Coder (7B),Qwen2.5-Coder (7B),112.97,103.06,119.27,2024-09-18,Alibaba,China,Open weights (unrestricted),Open weights,
Qwen-14B,Qwen-14B,112.85,104.94,117.63,2023-09-24,Alibaba,China,Open weights (restricted use),Open weights,
Mistral 7B v0.1,Mistral 7B v0.1,112.02,105.4,116.2,2023-09-27,Mistral AI,France,Open weights (unrestricted),Open weights,
Falcon-180B,Falcon-180B,111.94,104.28,118.9,2023-09-06,Technology Innovation Institute,United Arab Emirates,Open weights (restricted use),Open weights,
internlm-20b,internlm-20b,111.89,104.33,116.15,2023-09-18,,,Unknown,Other,
Gemma 7B,Gemma 7B,111.79,104.47,116.73,2024-02-21,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
DeepSeek LLM 67B,DeepSeek LLM 67B,110.56,94.72,117.04,2023-11-29,DeepSeek,China,Open weights (restricted use),Open weights,
LLaMA-65B,LLaMA-65B,109.94,102.38,114.19,2023-02-24,Meta AI,United States of America,Open weights (non-commercial),Open weights,
Falcon 2 11B,Falcon 2 11B,109.32,102.33,115.66,2024-05-09,Technology Innovation Institute,United Arab Emirates,Open weights (restricted use),Open weights,
Mistral 7B v0.3,Mistral 7B v0.3,108.78,98.81,112.63,2024-05-27,Mistral AI,France,Open weights (unrestricted),Open weights,
DeepSeek-Coder-V2-Lite-Base,DeepSeek-Coder-V2-Lite-Base,108.64,100.76,113.71,2024-06-13,,,Unknown,Other,
PaLM 2-M,PaLM 2-M,108.04,100.36,116.54,2023-05-17,,,Unknown,Other,
Phi-2,Phi-2,107.69,86.08,112.67,2023-12-12,Microsoft,United States of America,Open weights (unrestricted),Open weights,
Qwen2.5-Coder-3B,Qwen2.5-Coder-3B,107.48,94.58,114.98,2024-09-18,,,Unknown,Other,
Nemotron-4 15B,Nemotron-4 15B,107.45,100.02,113.16,2024-02-26,NVIDIA,United States of America,Unreleased,Closed weights,
Yi-9B,Yi-9B,107.35,98.96,115.54,2024-03-01,,,Unknown,Other,
LLaMA-33B,LLaMA-33B,107.14,99.12,111.49,2023-02-24,Meta AI,United States of America,Open weights (non-commercial),Open weights,
Qwen-7B,Qwen-7B,106.55,97.18,112.2,2023-09-28,Alibaba,China,Open weights (restricted use),Open weights,
Llama 2-13B,Llama 2-13B,105.88,97.93,111.08,2023-07-18,Meta AI,United States of America,Open weights (restricted use),Open weights,
PaLM 2-S,PaLM 2-S,105.88,96.89,114.47,2023-05-17,,,Unknown,Other,
Llama 2-34B,Llama 2-34B,104.9,96.63,110.21,2023-07-18,Meta AI,United States of America,Unreleased,Closed weights,
StarCoder 2 15B,StarCoder 2 15B,104.7,94.66,111.42,2024-02-20,"Hugging Face,ServiceNow,NVIDIA,BigCode",United States of America,Open weights (restricted use),Open weights,
Yi 6B,Yi 6B,104.46,96.4,109.77,2023-11-22,01.AI,China,Open weights (restricted use),Open weights,
Falcon-40B,Falcon-40B,104.13,96.13,109.74,2023-05-25,Technology Innovation Institute,United Arab Emirates,Open weights (unrestricted),Open weights,
Baichuan2-13B,Baichuan2-13B,102.86,92.28,109.77,2023-09-06,Baichuan,China,Open weights (restricted use),Open weights,
Qwen2.5-Coder (1.5B),Qwen2.5-Coder (1.5B),102.66,87.49,110.49,2024-09-18,Alibaba,China,Open weights (unrestricted),Open weights,
internlm-7b,internlm-7b,102.53,93.35,108.96,2023-07-05,,,Unknown,Other,
Llama 3.2 1B,Llama 3.2 1B,102.43,92.05,113.95,2024-09-24,Meta AI,United States of America,Open weights (restricted use),Open weights,
INTELLECT-1,INTELLECT-1,100.49,90.54,106.31,2024-11-29,"Prime Intellect,Hugging Face,Arcee AI",United States of America,Unknown,Other,
MPT-30B,MPT-30B,100.28,91.03,106.26,2023-06-22,MosaicML,United States of America,Open weights (unrestricted),Open weights,
LLaMA-13B,LLaMA-13B,100.2,90.99,106.42,2023-02-24,Meta AI,United States of America,Open weights (non-commercial),Open weights,
Llama 2-7B,Llama 2-7B,98.66,89.15,104.53,2023-07-18,Meta AI,United States of America,Open weights (restricted use),Open weights,
chatglm2-6b,chatglm2-6b,98.53,80.7,105.99,2023-06-24,,,Unknown,Other,
LLaMA-7B,LLaMA-7B,96.25,86.62,103.51,2023-02-24,Meta AI,United States of America,Open weights (non-commercial),Open weights,
Baichuan 2-7B,Baichuan 2-7B,95.88,85.35,104.45,2023-09-20,Baichuan,China,Open weights (restricted use),Open weights,
DeepSeek Coder 33B,DeepSeek Coder 33B,95.87,83.8,103.31,2023-11-02,"DeepSeek,Peking University",China,Open weights (restricted use),Open weights,
Falcon-7B,Falcon-7B,94.63,83.39,102.26,2023-04-24,Technology Innovation Institute,United Arab Emirates,Open weights (unrestricted),Open weights,
CodeQwen1.5-7B,CodeQwen1.5-7B,94.38,80.91,103.33,2024-04-15,,,Unknown,Other,
vicuna-13b-v1.1,vicuna-13b-v1.1,94.19,81.5,102.35,2023-04-12,,,Unknown,Other,
MPT-7B,MPT-7B,94.11,82.85,101.31,2023-05-05,MosaicML,United States of America,Open weights (unrestricted),Open weights,
Gemma 2B,Gemma 2B,93.72,83.4,100.44,2024-02-21,Google DeepMind,United States of America,Open weights (restricted use),Open weights,
StarCoder 2 7B,StarCoder 2 7B,93.06,79.66,101.53,2024-02-20,"Hugging Face,ServiceNow,NVIDIA,BigCode",United States of America,Open weights (restricted use),Open weights,
XGen-7B,XGen-7B,92.9,82.02,100.1,2023-06-27,Salesforce,United States of America,Open weights (unrestricted),Open weights,
Qwen-1_8B,Qwen-1_8B,92.43,72.31,101.42,2023-11-30,,,Unknown,Other,
open_llama_7b,open_llama_7b,91.12,78.31,98.94,2023-06-07,,,Unknown,Other,
Phi-1.5,Phi-1.5,90.99,69.51,100.73,2023-09-11,Microsoft,United States of America,Open weights (unrestricted),Open weights,
Baichuan1-7B,Baichuan1-7B,89.92,78.81,98.42,2023-06-01,Baichuan,China,Open weights (non-commercial),Open weights,
RedPajama-INCITE-7B-Base,RedPajama-INCITE-7B-Base,89.87,77.76,97.7,2023-05-04,,,Unknown,Other,
Dolly 2.0-12b,Dolly 2.0-12b,89.11,74.2,97.44,2023-04-11,Databricks,United States of America,Open weights (unrestricted),Open weights,
DeepSeek Coder 6.7B,DeepSeek Coder 6.7B,89.05,76.34,97.47,2023-11-02,"DeepSeek,Peking University",China,Open weights (restricted use),Open weights,
StarCoder 2 3B,StarCoder 2 3B,88.18,74.45,97.14,2024-02-22,"Hugging Face,ServiceNow,NVIDIA,BigCode",United States of America,Open weights (restricted use),Open weights,
Qwen2.5-Coder-0.5B,Qwen2.5-Coder-0.5B,87.56,63.11,101.0,2024-09-18,,,Unknown,Other,
Cerebras-GPT-13B,Cerebras-GPT-13B,82.57,68.78,91.55,2023-03-20,Cerebras Systems,United States of America,Open weights (unrestricted),Open weights,
DeepSeek Coder 1.3B,DeepSeek Coder 1.3B,62.54,47.12,77.27,2023-11-02,"DeepSeek,Peking University",China,Open weights (restricted use),Open weights,
stablelm-tuned-alpha-7b,stablelm-tuned-alpha-7b,54.64,35.01,70.6,2023-04-19,,,Unknown,Other,
